Title,Geography,Geography ISO,Jurisdiction,Citation Reference Number,Responses,At issue,Connected Internal Laws,Connected External Laws,Sectors,Side A,Side B,Side C,Events,Summary,,,,,,,,,,,,,
"Instituto Socioambiental, Abrampa & Greenpeace Brasil v. Ibama and the Federal Union",Brazil,BRA,7th Federal Environmental and Agrarian Court of the Judiciary Section of Amazonas,ACP 1009665-60.2020.4.01.3200,"Mitigation, Loss And Damage",<div>Reversal of an act issued by the federal environmental agency that eased requirements for the exportation of timber.</div>,,Brazilian Constitution of 1988|http://www.planalto.gov.br/ccivil_03/constituicao/constituicao.htm,National Environmental Policy Act (Law 6.938/1981)|http://www.planalto.gov.br/ccivil_03/LEIS/L6938.htm,Interpretative Dispatch of IBAMA 7036900/2020-GABIN|https://www.gov.br/ibama/pt-br/centrais-de-conteudo/2020-04-09-nota-tecnica-4-2020-dbflo-pdf,Normative Instruction IBAMA 15/2011|https://www.legisweb.com.br/legislacao/?id=78862,Complementary law 140/2011|http://www.planalto.gov.br/ccivil_03/LEIS/LCP/Lcp140.htm,LULUCF,Instituto Socioambiental (ISA)|ngo,Associação Brasileira dos Membros do Ministério Público de Meio Ambiente (ABRAMPA|ngo,Greenpeace Brasil |ngo,Brazil|government,,04/05/2020|Case filed,"<div>Three NGOs filed a lawsuit with the main objective of declaring null and void the decision of the president of the federal environmental agency (Brazilian Institute of the Environment and Renewable Natural Resources – IBAMA) that allowed the export of native wood without government oversight, violating the special legislation which establishes this type of state control, in addition to determining that the federal government is prevented from adopting decisions of similar content.<br><br></div><div>To provide context for their claim, the applicants highlighted the role of the Amazon Forest in maintaining the ecological and climatic balance, as well as the scenario of significant increase in the rates of illegal deforestation in the Amazon, followed by the deconstruction of public environmental policies, especially from 2019. The applicants also warn of the dangers of the emergence of several epidemics and proliferation of viruses (including Coronavirus) due to the ecological imbalance caused by deforestation.<br><br></div><div>The case is based on federal legislation and constitutional rights, especially: (i) the Union's competence to protect the environment (articles 23, and 225, § 1); (ii) the national heritage category of the Amazon (article 225, § 4); (iii) the principle of defense of the environment as the guidance of the economic order (article 170, VI), applicable to the timber industry; (iv) the relationship between the protection of ecological balance as a fundamental right, the principle of human dignity and the right to life (article 5); (v) the need to implement the fundamental right to health (articles 6 and 196).<br><br></div><div>The plaintiffs demand for an injunction that declares: (i) null the decision of the president of IBAMA which effectively allowed the export of native wood without government oversight, at the request of logging companies; (ii) the restoration of the effects of the rule of the federal environmental agency (Normative Instruction 15 IBAMA of 2011), which provides for the enforceability of the authorization for the export of native wood; (iii) the determination that Federal Government refrains from issuing other normative act of similar content and which denies the prevalence of special legislation which already establishes with the state control of the export of native wood in the country.<br><br>The injunction was rejected by the lower court. Two requests for reconsideration of the decision were submitted, one by the plaintiffs and the other by the Federal Public Prosecutor’s Office as a representative of the law (<em>custos legis</em>).</div>",,,,,,,
PSB et al. v. Brazil (on deforestation and human rights),Brazil,BRA,Federal Supreme Court,,"Adaptation, Mitigation",<div>Whether Brazil's failure to curb deforestation and resulting climate change violates fundamental constitutional rights of indigenous peoples and current and future generations.</div>,Plan to Control Illegal Deforestation and Recovery of Native Vegetation (PPCDAm and PPCerrado)|http://climate-laws.org/geographies/brazil/policies/plan-to-control-illegal-deforestation-and-recovery-of-native-vegetation-ppcdam-and-ppcerrado,Brazilian Constitution of 1988|http://www.planalto.gov.br/ccivil_03/constituicao/constituicao.htm,LULUCF,Partido Socialista Brasileiro and six others|individual,Brazil|government,,11/11/2020|Case filed||,"<div>On November 11, 2020, seven political parties in Brazil (Partido Socialista Brasileiro (PSB) and six others) brought an action against the federal government for violating fundamental constitutional rights by failing to implement the national deforestation policy, and thereby contributing to dangerous climate change. The political parties, organized by a coalition of nongovernmental organizations (NGOs), allege that by failing to implement Brazil's Action Plan for Prevention and Control of the Legal Amazon Deforestation (PPCDAm), the federal government violated the fundamental rights of indigenous peoples and present and future generations.&nbsp;<br><br></div><div>The suit demands that the federal government and its bodies implement the PPCDAm and suggests the Court set benchmarks for compliance including: meet an 80% deforestation rate reduction relative to the 1996-2005 average by 2021, enact a temporary moratorium on all deforestation until 2022 if that rate cannot be reached by 2021, and increase the power of federal authorities to set penalties for illegal deforestation.&nbsp;<br><br></div><div>The coalition of NGOs organized the lawsuit and compiled evidence of the government's suspended enforcement of the PPDCAm. According to the NGOs, Brazil saw a 34% increase in the Amazon deforestation rate between 2018 and 2019. Due to procedural requirements for such an action alleging the violation of a fundamental constitutional right, heard directly at the Supreme Court, the NGOs organized seven political parties to bring the case.</div>",,,,,,,,,,,,,
Institute of Amazonian Studies v. Brazil,Brazil,BRA,Federal District Court of Curitiba,,Mitigation,<div>Whether the Brazilian Constitution guarantees a fundamental right to a stable climate and whether the Brazilian government may be compelled to meet emission and deforestation reduction goals</div>,"Law 12.187/2009, establishing the National Policy on Climate Change (NPCC), regulated by Decree 7.390/2010|http://climate-laws.org/geographies/brazil/laws/law-12-187-2009-establishing-the-national-policy-on-climate-change-npcc-regulated-by-decree-7-390-2010;Plan to Control Illegal Deforestation and Recovery of Native Vegetation (PPCDAm and PPCerrado)|http://climate-laws.org/geographies/brazil/policies/plan-to-control-illegal-deforestation-and-recovery-of-native-vegetation-ppcdam-and-ppcerrado",Brazilian Constitution of 1988|http://www.planalto.gov.br/ccivil_03/constituicao/constituicao.htm,LULUCF,Instituto de Estudos Amazônicos - IEA|ngo,Brazil|government,,08/10/2020|Case filed||,"<div>On October 8, 2020, the Institute of Amazonian Studies (Instituto de Estudos Amazônicos - IEA) filed a Public Civil Action (class action) against the Federal Government of Brazil, seeking recognition of a fundamental right to a stable climate for present and future generations under the Brazilian Constitution, and seeking an order to compel the federal government to comply with national climate law. Plaintiffs allege that the federal government has failed to comply with its own action plans to prevent deforestation and mitigate and adapt to climate change, violating national law and fundamental rights. Plaintiffs assert that the government has failed to meet the Brazilian emissions targets set out in the Climate Change National Policy Act, a binding act passed by the Brazilian legislature. In order to meet these targets, the federal government issued a decree setting out specific action plans for preventing and controlling deforestation in various Brazilian biomes, as well as outlining sectoral plans for climate change mitigation and adaptation. A key part of this decree is the Action Plan for Prevention and Control of Deforestation in Legal Amazon (PPCDAm). By failing to meet critical targets in the PPCDAm and emissions targets, plaintiffs allege that the government is violating fundamental rights and national law. Plaintiffs seek an order to compel the federal government to comply with its existing policies, to reforest an area equivalent to what was deforested beyond the statutory limit, and to allocate sufficient budgetary resources for this purpose.</div>",,,,,,,,,,,,,
Six Youths v. Minister of Environment and Others,Brazil,BRA,14th Federal Court of Sao Paulo,,Mitigation,<div>Whether Brazil's updated NDC violated the Paris Agreement and Brazil's constitution by decreasing its ambition.</div>,"Law 12.187/2009, establishing the National Policy on Climate Change (NPCC), regulated by Decree 7.390/2010|http://climate-laws.org/geographies/brazil/laws/law-12-187-2009-establishing-the-national-policy-on-climate-change-npcc-regulated-by-decree-7-390-2010",,Economy-wide,Six Youth Plaintiffs|individual,Government of Brazil|government,,13/04/2021|Case filed||,"<div>On April 13, 2021, six young climate activists filed suit alleging that the government of Brazil, by using a carbon trick maneuver in its updated Nationally Determined Contribution (NDC) to the Paris Agreement, violated obligations under the Paris Agreement and Brazilian law. Brazil submitted an updated NDC in 2020 that maintains a 43 percent emissions cut by 2030 goal, but raises Brazil's estimated baseline emissions from 2005. In effect, plaintiffs allege, this would allow Brazil to emit 400 million more tonnes by 2030. Plaintiffs allege that this accounting maneuver violates the Paris Agreement's obligation to increase ambition in updated NDCs, violates Brazil's obligation to safeguard the right to an ecologically balanced environment under Article 225 of the constitution, and violates Brazil's National Policy on Climate Change.</div>",,,,,,,,,,,,,
Parents for Future Brazil v. State Government of Sao Paulo (“Famílias pelo Clima vs. Governo do Estado de São Paulo”),Brazil,BRA,Court of Justice of Sao Paulo,,Mitigation,<div>Whether the State of Sao Paulo must disclose climate and budget impacts of an automaking fund.</div>,"Law 12.187/2009, establishing the National Policy on Climate Change (NPCC), regulated by Decree 7.390/2010|http://climate-laws.org/geographies/brazil/laws/law-12-187-2009-establishing-the-national-policy-on-climate-change-npcc-regulated-by-decree-7-390-2010",,Transport,Parents for Future|ngo,State of Sao Paulo|government,,25/09/2020|Complaint filed||,12/01/2021|Order accepting case||,11/02/2021|Order rejecting government motion to withhold information||,"<div>On September 25, 2020, a community group called Parents for Future Brazil sued the State Government of Sao Paulo seeking disclosure of the budgetary and climate impacts of the IncentivAuto program, an over $150 million fund designed to incentivize automaking in the state. Plaintiffs allege that the fund offers financing without requiring any climate mitigation efforts on the part of the carmakers. Plaintiffs justify their demand for evidence on the implementation of the program on the grounds that the program is potentially illegal for failing to minimize greenhouse gas emissions, in violation of the State of Sao Paolo’s Climate Change Plan. On January 12, 2021, the Court accepted the lawsuit, and on February 11, 2021, the Court denied the government’s motion to withhold some information on confidentiality grounds.</div>",,,,,,,,,,,
"Chicago Climate Exchange v. Bourse de Montreal (Trade-marks Opposition Board, 2014)",Canada,CAN,Canada,[2014] CarswellNat 1045,Mitigation,Challenge trademark application,,Trade-mark’s Act 1985|,Other,Chicago Climate Exchange|corporation,Bourse de Montreal|corporation,,25/12/2014|Case opened,"The Chicago Climate Exchange opposed an application for the trademark of the Montreal Green Exchange, a green exchange for carbon trading and other environmental products and instruments. The Chicago Climate Exchange alleged that the name of the exchange was confusing with its registered trademarks, Montreal Climate Exchange and Marche Climatique de Montreal. Due to the similarity in the nature of services and the degree of resemblance between the marks, the court found in favor of the Chicago Climate Exchange and refused the application.",,,,,,,,,,,,,
"Citizens of Riverdale Hospital v. Bridgepoint Health Services (O.J. No. 2527, 2007)",Canada,CAN,Canada,[2007] O.J. No. 2527,Mitigation,<div>Challenge to municipal board's decision approving the demolition of a hospital</div>,,Planning Act|,Other,Citizens of Riverdale Hospital|individual,Bridgepoint Health Services|ngo,,25/12/2007|Case opened,"<div>Ontario Superior Court of Justice, Canada. A citizen's group opposed the demolition of a hospital in the City of Toronto. Among other reasons, the group argued that the Ontario Municipal Board had failed to adequately consider the issue of greenhouse gas emissions. The Court concluded that although CO2 emissions is an important environmental concern, the City and the Board had adequately considered the issue and correctly found the proposal to meet the requirements of section 24(1) of the Planning Act, R.S.O. 1990, c. P-13, as amended.</div>",,,,,,,,,,,,,
"Friends of the Earth v. The Governor in Council et al. (Federal Court, 2008)",Canada,CAN,Canada,[2008] FC 1183, [2009] FCA 297,Mitigation,Sought declaration that the government breached its duties under the KPIA,,Kyoto Protocol Implementation Act 2007 (KPIA)|,"Economy-wide, Other",Friends of the Earth|ngo,The Minister of the Environment|government,,25/12/2008|Case opened,"A Canadian federal court dismissed an action by a not-for-profit organization alleging that the Canadian government had breached its duties under the Kyoto Protocol Implementation Act, 2007 (KPIA).   Friends of the Earth Canada sought a declaration from the court that the government had failed to meet the legal requirements of the KPIA by missing deadlines and failing to publish regulations.  The court ruled that the legislation is not justiciable.  The court concluded that it had no role to play reviewing the reasonableness of the government's response to Canada's Kyoto commitments within the four corners of the KPIA.


 In 2009, the Federal Court of Appeal affirmed the lower court's decision, finding that there was no judiciable issue for the court to consider.  The Supreme Court of Canada declined to accept the case in 2010.",,,,,,,,,,,,
In the Matter of FortisBC Energy Inc.: Amendment to Rate Schedule 16 on a Permanent Basis (2013 Carswell BC 1671),Canada,CAN,Canada,[2013] Carswell BC 1671,Mitigation,<div>Applied for approval of several proposals related to Liquefied Natural Gas business</div>,,Commission Order G-65-09|,Energy,FortisBC Energy Utilities|corporation,British Columbia Utilities Commission|government,,25/12/2013|Case opened,"<div>FortisBC Energy Inc. (FEI) applied to the British Columbia Utilities Commission for approval of several proposals related to its Liquefied Natural Gas business. The commission reviewed each proposal, ranging from matters of supply rate methodology to storage reporting requirements and incentive contracts, etc. The commission considered many of the proposals in light of promulgated greenhouse gas reduction regulation and approved some of the proposals while denying others.</div>",,,,,,,,,,,,,
"In the Matter of subsection 17(40) of the Planning Act, R.S.O 1990, P.13 as amended (Ontario Municipal Board, 2013)",Canada,CAN,Canada,[2013] Carswell Ont 15294,Mitigation,<div>City sought partial approval of the amendment of its 2006 Official Plan</div>,,The Planning Act|,"Economy-wide, Public Sector, Transportation",City of Brampton|government,Ontario Municipal Board|government,,25/12/2013|Case opened,"<div>The City of Brampton filed a motion seeking partial approval of the amendment its 2006 Official Plan. The plan was amended to include climate change considerations with respect to transportation, sustainable development, climate change adaptation and mitigation, and energy efficiency and management. The partial approval was granted.</div>",,,,,,,,,,,,,
"Pembina Institute for Appropriate Development, et al v. Attorney General of Canada and Imperial Oil (Federal Court of Canada, 2008)",Canada,CAN,Canada,[2008] FC 302,Mitigation,Challenge to government panel approval of oil sands mine,,Canadian Environmental Assessment Act|,Energy,Sierra Club of Canada|ngo,Minister of Environment|government,,25/12/2008|Case opened,"Federal Court of Canada found legal errors in a government joint review panel's environmental assessment of the Kearl Tar Sands Project.  Ecojustice and several non-profit organizations challenged the panel's approval of the project, alleging that it had failed to seriously consider the climate change impacts of the project.  The court agreed with the petitioner, holding that the panel failed to adequately support their conclusion that the project would cause only insignificant environmental harm.",,,,,,,,,,,,,
In re 2012-2013 Revenue Requirements and Rates In the Matter of the FortisBC Energy Utilities (2012 Carswell BC 1061),Canada,CAN,Canada,[2012] Carswell BC 1061,Mitigation,Sought approval of  2012-2013 Revenue Requirements,,Greenhouse Gas Reduction Targets Act 2007|,Energy,FortisBC Energy Utilities|corporation,British Columbia Utilities Commission|government,,25/12/2012|Case opened,"FortisBC Energy Utilities (FEU) applied for approval of its 2012-2013 Revenue Requirements, including $64.5 million for Energy Efficiency and Conservation expenditures.  The Application was filed and reviewed during a period of significant and continuing change in terms of BC Government Energy Policy and Regulation with respect to the Clean Energy Act. A portion of the funds requested were for the purpose of meeting British Columbia's energy objectives through the reduction of greenhouse gas emissions.  BC policy relevant to FEU's funding requests were  the 2007 Greenhouse Gas Reduction Targets Act and the 2008 Carbon Tax Act. While not approving all of the requests of the FEU, the Commission Panel has approved much of what has been applied for. The Commission determined, in particular, that ratepayer cost should not be mitigated for planned alternative energy sources which are not implemented.",,,,,,,,,,,,,
Re River District Energy Limited Partnership (2011 Carswell BC 3538),Canada,CAN,Canada,[2011] Carswell BC 3538,Mitigation,British Columbia Utilities Commission granted a Certificate of Public Convenience and Necessity (CPCN),,Utilities Commission Act|,Energy,River District Energy Limited Partnership|corporation,British Columbia Utilities Commission|government,,25/12/2011|Case opened,"British Columbia Utilities Commission granted a Certificate of Public Convenience and Necessity (CPCN) to River District Energy Limited Partnership (RDE), allowing RDE to construct and operate a District Energy Utility in southeast Vancouver. The project is found to serve the public interest and align with British Columbia's energy objectives. The initial energy source will be natural gas; RDE plans to begin using waste heat generated by the Burnaby Waste to Energy Facility beginning in 2016. However, RDE is under no binding legal obligation to shift to a renewable energy source. The Commission is confident in the planned facility's potential to reduce greenhouse gas emissions over its lifetime, despite a projected 40% increase in GHG emissions by RDE over the first four years of the project.",,,,,,,,,,,,,
Syncrude Canada Ltd. v. Attorney General of Canada (Federal Court of Appeal 2016),Canada,CAN,Canada,[2016] FCA 160,Mitigation,Challenge to government's authority to impose Renewable Fuel Regulations,,Canadian Environmental Policy Act|,Renewable Fuel Regulations|,Energy,Syncrude Canada Ltd.|corporation,The Attorney General of Canada|government,,25/12/2016|Case opened,"In 2011, Syncrude Canada requested independent review of the regulation that requires two percent of the content of all its diesel fuels to be renewable, even what it produces for its own use. Syncrude took the case to court when Environment Canada and Climate Change Canada rejected that request, arguing that the regulation was invalid on various administrative and constitutional grounds. The court denied the challenge, finding that the regulations were a valid exercise of government authority as part of an overall strategy to reduce greenhouse gas emissions. After hearing Syncrude's appeal, the appellate court characterized its key argument as follows:


Syncrude was asking the Court to substitute its view for that of the [government] as to whether the [renewable fuel requirement]s could, in the language of [Canadian Environmental Policy Act] subsection 140(2), ""make a significant contribution to the prevention of, or reduction in, air pollution.""
 
The Court of Appeal rejected this argument, concluding not only that the government's premise is warranted but furthermore that, ""[e]ven if there was a solid evidentiary foundation establishing a different scientific opinion . . . it would not detract from the [government] forming a different opinion on admittedly different evidence.""",,,,,,,,,,,,
"Turp v. Canada (Attorney General), Federal Court of Canada  FC 893, T-110-12",Canada,CAN,Canada,2012 FC 893,Mitigation,Application by Turp for judicial review of the federal government's decision to withdraw from the Kyoto Protocol to the United Nations Framework Convention on Climate Change,,,Other,Daniel Turp|individual,"Minister of Justice, Attorney General of Canada|government",,25/12/2010|Case opened,"The Canadian executive branch has exclusive power to withdraw from treaties; the government's decision to withdraw from the Kyoto Protocol is therefore not subject to judicial review.  The Federal Court held that the 2007 Kyoto Protocol Implementation Act does not limit this inherent power of the executive branch, either expressly or by implication.  Furthermore, the Canadian Parliament imposed no justiciable duty upon the government to comply with Kyoto commitments.",,,,,,,,,,,,,
"Weaver v. Corcoran & Others (British Columbia Supreme Court, Canada, 2015)",Canada,CAN,Canada,[2015] BCSC 165,Mitigation,"Plaintiff sought injunction against newspaper for publishing false, malicious and defamatory words.",,,Other,Andrew Weaver|individual,Gordon Fisher|individual,The National Post|corporation,,25/12/2015|Case opened,"Professor Andrew Weaver, a renown Canadian climate scientist, filed suit against the National Post, its publisher, and several journalists for defamation. Dr. Weaver's claims arose out of the defendants' publication of statements that allegedly injured Dr. Weaver's reputation as a climate scientist in the context of the ""Climategate"" controversy. Plaintiff Weaver sought an injunction requiring the newspaper to remove the allegedly false statements from its website and from any sites where the statements were reposted. The Supreme Court of British Columbia found that the defendants had defamed Dr. Weaver and that their statements were not protected by the defense of fair comment because the facts upon which they relied were false. The Court awarded Dr. Weaver $50,000 in general damages, and directed the defendants to remove the offending articles, require third parties to cease republication, and publish a retraction.",,,,,,,,,,,,
Burgess v. Ontario Minister of Natural Resources and Forestry,Canada,CAN,Canada,Court File No. 16-1325 CP,Adaptation,<div>Recover damages for failure to avert flooding</div>,,,Disaster Risk Management (Drm),Burgess|individual,Ontario Minister of Natural Resources and Forestry|government,,14/09/2016|Case opened|Property owners filed a class action suit against Ontario's Ministry of Natural Resources seeking compensation for property damages alleging the Ministry should've warned them about flood risks.,01/01/2018|Case discontinued|The case was discontinued at the lead plaintiff's request.,"<div>Ontario's Ministry of Natural Resources manages the water levels in several lakes whose surfaces would otherwise rise higher and fall lower with snow melt and precipitation. Historically, the area around the lakes has not seen flooding, but, since 2010, three different floods have damaged and destroyed private property there. In September 2016, property owners filed a class action suit seeking C$900 million in damages from the Ministry for the most recent flood events. Class members include ""all [legal persons] that owned real property and or had an ownership interest in real property situated on the shoreline of the Muskoka Lakes who suffered damages as a result of high water levels, flooding, and/or floating ice in March or April 2016."" The plaintiffs allege that the Ministry had a duty to avert foreseeable flooding, knew that the lakes had reached dangerously high levels early in 2016, yet negligently allowed the lakes to flood, which in turn destroyed adjacent structures.</div>",,,,,,,,,,,,
In re Amended and Restated Preliminary Prospectus of Kinder Morgan Canada Limited's Initial Public Offering,Canada,CAN,Canada,[no citation available],Mitigation,Adequacy of climate change-related disclosures in Kinder Morgan Canada's IPO prospectus,,Securities Act (Alberta)|,"Energy, Other",Greenpeace Canada|ngo,Kinder Morgan Canada Ltd.|corporation,,"01/01/2017|Case opened|Greenpeace requested that Alberta's Securities Commission freeze, pending review, Kinder Morgan Canada's initial public offering (IPO) based on alleged deficiencies in its prospectus. Case is still undecided.","Citing provisions of the Securities Acts of Alberta and Ontario that require public companies to disclose all material facts about their operations and business models, Greenpeace requested that Alberta's Securities Commission freeze, pending review, Kinder Morgan Canada's initial public offering (IPO) based on alleged deficiencies in its prospectus. That prospectus, Greenpeace alleged, misled potential investors regarding prospective oil demand and regulatory and environmental risks related to climate change. Specifically, Greenpeace criticized Kinder Morgan's reliance on outmoded projections of Chinese demand for oil generally, its omission of any mention of decarbonization targets in numerous large economies, and its omission of the fact that markets tend to discount oil sourced from Canadian tar sands. Greenpeace also alleged that Kinder Morgan's general references to climate change fall far short of an adequate evaluation of the climate change-related financial risks identified by the G20's Financial Stability Board, the Bank of Canada, and (though its review of these issues was still underway as of May 2017) the Canadian Securities Administrator.",,,,,,,,,,,,,
"Greenpeace Canada v. Minister of the Environment, Conservation, and Parks; Lieutenant Governor in Council",Canada,CAN,Canada,Case no. 575/18,Mitigation,<div>Whether regulations and legislation undoing Ontario's cap and trade program illegally failed to comply with requirements for public consultation</div>,,Ontario Regulation 386/18, Bill 4|https://www.ontario.ca/laws/regulation/r18386,Climate Change Mitigation and Low-carbon Economy Act|https://www.ontario.ca/laws/statute/16c07,Economy-wide,Greenpeace Canada|ngo,"Minister of the Environment, Conservation, and Parks; Lieutenant Governor in Council|government",,03/07/2018|Regulation of interest is issued|Ontario Regulation 386/18 is adopted,11/09/2018|Case opened|Environmental groups files a lawsuit against Ontario Government alleging it failed to meet legal requirements for public consultation on regulations that would end Ontario's cap and trade program (Regulation 386/18),11/10/2019|Case dismissed,"<div>On October 11, 2019, the Superior Court of Ontario dismissed Greenpeace's case on the grounds that declaratory relief was not available. Two of the three judges reasoned that declaratory relief would have no practical effect because the statute that gave authority for the regulation at issue had been repealed. Had declaratory relief been able to have practical effect, two of the judges would have found that the Ontario government was required to participate in public participation before enacting the cancelling regulation.<br><br></div><div>Prior to the dismissal, on January 25, 2019, the court rejected a motion to dismiss on the grounds that the dispute was moot, reasoning that there was still a live dispute over whether the public participation in question was lawful.&nbsp;<br><br></div><div>Environmental groups filed suit against the Ontarian government, alleging the government failed to meet legal requirements for public consultation on regulations that would end Ontario’s cap and trade program and a proposed bill that would undercut the province’s legislative regime for combatting climate change. Plaintiffs argued that both the regulations and bill violate requirements under the Environmental Bill of Rights (EBR) for public participation in the development of environmentally significant regulations and legislation.&nbsp;<br><br></div><div>The lawsuit concerns Ontario Regulation 386/18 filed on July 3, 2018 by the Minister of Environment, Conservation and Parks. The government did not conduct a public consultation process and filed a claim that the 2018 election was “substantially equivalent” to the 30-day consultation process required by law. Plaintiffs argued that the government was still required to undertake public consultation for the regulation under the EBR and that the regulation is ultra vires because it contradicts the purpose of the “Climate Change Mitigation and Low-Carbon Economy Act,” the enabling act for this regulation. The lawsuit additionally concerned “Bill 4, the Cap and Trade Cancellation Act, 2018” filed on July 25, 2018. This bill would repeal the “Climate Change Mitigation and Low-carbon Economy Act, 2016” which includes greenhouse gas emission reduction targets. Plaintiffs argued that this bill would have a significant environmental impact because it would repeal existing greenhouse gas emissions targets without establishing new targets. If there is a significant environmental impact, then the government must undertake the mandatory notice and comment process required by the EBR.&nbsp;<br><br></div><div>Plaintiffs sought declaratory relief and asked the Court to quash the regulations.</div>",,,,,,,,,
"Ontario v. Canada re Greenhouse Gas Pollution Pricing Act, 2019",Canada,CAN,Canada,C65807,Mitigation,<div>Whether the Greenhouse Gas Pollution Pricing Act passed by the national government is constitutional</div>,Greenhouse Gas Pollution Pricing Act|http://climate-laws.org/geographies/canada/laws/greenhouse-gas-pollution-pricing-act,,"Economy-wide, Other",Province of Ontario|government,Canada|government,"Governments of Saskatchewan, New Brunswick, and British Columbia|government",21/06/2018|Contested policy is adopted|The National Greenhouse Gas Pollution Pricing Act (GGPPA) is adopted as Canada's carbon pricing system.,13/09/2018|Case opened|Province of Ontario filed a suit in the Ontario Court of Appeal seeking consideration of whether GHG Pollution Pricing Act (GGPPA) is unconstitutional.,28/06/2019|Case decided|The Court upheld the constitutionality of the GGPPA.,"<div>The Province of Ontario filed suit in the Ontario Court of Appeal seeking consideration of whether the Greenhouse Gas Pollution Pricing Act (GGPPA) is unconstitutional. The GGPPA became law in June 2018 and, as its name implies, allows the national government to set a price on greenhouse gas emissions which will be applied to provinces and territories that have not implemented a compliant program once the law goes into effect in January 2019.&nbsp;<br><br>Ontario alleges that Parliament exceeded its constitutional authority in passing the GGPPA, arguing that the GGPPA is not authorized by the ""national concern branch of the peace, order, and good government power"" because the provinces are capable of regulating greenhouse gas emissions themselves and that ""there is no need to expand the scope of federal jurisdiction to impose a one-size-fits-all federal carbon price."" Ontario further argues that even if the GGPPA falls within the scope of a national concern, the GGPPA represents an unconstitutional tax because it does not provide an adequate nexus between the charges it imposes and its regulatory purpose. Multiple parties have intervened in the case, including a number of advocacy groups and the governments of Saskatchewan, New Brunswick, and British Columbia.</div>",,,,,,,,,,,
ENVironnement JEUnesse v. Canada,Canada,CAN,Canada,500-06,Mitigation,Whether the Canadian government violated fundamental rights of citizens aged 35 and under by failing to set a greenhouse gas emission reduction target and plan to avoid dangerous climate change impacts.,,,Other,ENvironnement JEUnesse|ngo,Canada|government,,"26/11/2018|Case opened|The Canadian NGO ""Environnement JEUnesse"" filed a case before the Superior Court of Québec to bring action against Canadian Government on behalf of citizens aged under 35, for violating the plaintiffs' rights by setting insufficinet GHG reduction targets.;11/07/2019|Case dismissed|The Court dismissed the motion for authorization of a class action, arguing that the age limits had insufficient justification (among other reasons).","ENvironnement JEUnesse, an environmental nonprofit, has applied in the Superior Court of Québec to bring a climate change-related class action against the Canadian government on behalf of Québec citizens aged 35 and under. ENvironnement JEUnesse reports that it has asked the Court, inter alia, to declare that the Government of Canada has failed in its obligations to protect the fundamental rights of young people under the Canadian Charter of Rights and Freedoms and the Québec Charter of Rights and Freedoms. The organization alleges that the government violated plaintiffs' rights by setting a greenhouse gas reduction target insufficient to avoid dangerous climate change impacts and by lacking an adequate plan to reach its greenhouse gas emission target.


More specifically, plaintiffs allege that 1) the ""Canadian government's adoption of GHG emission targets that it knows are harmful to human life and health violates the right of class members to life, inviolability and security protected by section 7 of the Canadian Charter and section 1 of the Québec Charter,"" and 2) ""by adopting inadequate targets and failing to put in place the necessary measures to achieve these targets, the government is violating the class members' right to live in a healthful environment in which biodiversity is preserved, protected by the Québec Charter.""


The class action seeks a declaratory judgment and punitive damages. They have also asked the court to order a cessation of interference with plaintiffs' rights.


On July 11, 2019, the court dismissed the motion for authorization to institute a class action. According to information available from the plaintiff organization and media outlets, the judge found insufficient justification for the age limits of the class. A lawyer for the firm representing the plaintiff organization reports that the judge made determinations in favor of the plaintiffs on other critical issues. These include recognition of the impact of climate change on human rights as a justiciable issue and the applicability of the Canadian Charters and Quebec rights and freedoms to government actions in this area. Confirmation and further analysis will be provided upon review of a translation of the decision. Environment JEUnesse reports that they plan to appeal the decision.",,,,,,,,,,,,,
"Michael Mann v. Timothy (""Tim"") Ball, The Frontier Centre for Public Policy, Inc. and John Doe",Canada,CAN,British Columbia's Supreme Court,Court No. VLC-S-S-111913,Mitigation,<div>Libel claim filed by climate scientist falsely suggested to be guilty of criminal fraud in connection to alleged Climategate scandal</div>,,,Other,Michael Mann|individual,"John Doe|individual;The Frontier Centre for Public Policy, Inc.|ngo",,"25/03/2011|Complaint filed|Michael Mann (scientist) filed a claim against Tomothy Ball, the Frontier Centre for Public Policy (FCPP) and another, for defamatory statements on interview inferring that Mann was guilty of fraud relating to Climategate scandal.|;25/12/2011|Case opened||;07/06/2019|Retraction and apology by FCPP|The FCPP issued a retraction and apology on their website.|;22/08/2019|Case dismissed|The Court dismissed the case on account of delay.|","<div>In 2011, climate scientist Michael Mann filed a libel claim against Timothy (“Tim”) Ball, The Frontier Centre for Public Policy, Inc. (""FCPP""), and an unnamed defendant (""John Doe""). The defendant Ball participated in an interview with the FCPP and John Doe during which Ball made allegedly false and defamatory statements inferring that Michael Mann is guilty of criminal fraud in relation to the alleged “Climategate” scandal or alternatively that there are probably grounds to find Mann guilty. The plaintiff sought damages, an injunction against further publication of the defamatory statements, and a court order for the defendants to remove the interview containing the defamatory statements from all electronic databases, including the FCPP website. In June 2019, the FCPP settled with Mann and issued a retraction and apology on their website.&nbsp;<br><br></div><div>On August 22, 2019, the court dismissed the case on account of delay. The court found that two periods of delay totalling 35 months constituted ""inordinate delay"" that could not be excused on account of the plaintiff being occupied with other matters. The court further found that this delay had caused prejudice to the defendant because three of the defendants' planned witnesses had died. The court dismissed the case and ordered the plaintiff to pay the defendant's court costs.</div>",,,,,,,,,,,,,
